customer_id,order_id,product_id,product_name,category,brand,warehouse_id,city,state,region,supplier_id,selling_price,procurement_cost,discount_percent,promotion,promotion_name,promotion_type,holiday_flag,holiday_name,festival_flag,festival_name,weekend,month,day_of_week,units_sold,inventory_level,reorder_point,safety_stock,supplier_lead_time_days,lead_time_variability,stockout_flag,inventory_turnover,delivery_time_days,return_quantity,shipping_cost,profit_margin,demand_trend,weather,payment_method,delivery_status,year,quarter,week,day,day_of_year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,season,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_min_7,rolling_max_7,rolling_mean_14,rolling_std_14,rolling_min_14,rolling_max_14,rolling_mean_30,rolling_std_30,rolling_min_30,rolling_max_30,ema_7,ema_14,ema_30,expanding_mean,difference_1,difference_7,growth_rate,month_sin,month_cos,weekday_sin,weekday_cos
584,584,0,85,1,15,2,7,5,3,7,34545.6,25345.46,20,1,0,4,0,3,0,0,0,6,1,77,261,80,45,9,1,0,0.3,5,3,337.47,26.63,2,0,4,2,2023,2,23,6,157,0,0,0,0,0,2,22.0,94.0,0.0,0.0,46.57142857142857,26.425096296621405,8.0,77.0,56.90909090909091,29.767279168424327,8.0,94.0,56.90909090909091,29.767279168424327,8.0,94.0,52.91042995452881,60.37706792084427,71.19679217261205,56.90909090909091,55.0,-17.0,2.5,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
2664,2664,0,85,1,15,2,7,5,3,41,20722.4,16462.42,20,1,5,3,0,3,0,0,0,6,4,68,245,49,34,7,2,0,0.28,7,3,152.45,20.56,2,0,5,2,2023,2,24,16,167,0,0,0,0,0,2,77.0,70.0,0.0,0.0,46.285714285714285,26.138823524368792,8.0,77.0,57.833333333333336,28.56200060898884,8.0,94.0,57.833333333333336,28.56200060898884,8.0,94.0,56.682822465896606,61.3934588647317,70.9905475163145,57.833333333333336,-9.0,-2.0,-0.11688311688311692,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
2912,2912,0,85,1,15,1,1,3,2,6,240.0,234.33,40,1,0,4,0,3,0,0,1,7,6,28,156,39,47,5,2,0,0.18,7,3,42.99,2.36,0,1,4,1,2023,3,26,2,183,1,0,0,0,0,2,68.0,8.0,0.0,0.0,49.142857142857146,22.0259587110949,22.0,77.0,55.53846153846154,28.570425806578918,8.0,94.0,55.53846153846154,28.570425806578918,8.0,94.0,49.512116849422455,56.940997682767474,68.21696380558456,55.53846153846154,-40.0,20.0,-0.5882352941176471,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
1219,1219,0,85,1,15,5,5,9,0,35,41606.0,26280.82,0,0,4,4,0,3,0,0,0,7,0,27,96,45,48,10,1,0,0.28,6,0,329.95,36.83,0,3,1,3,2023,3,29,17,198,0,0,0,0,0,2,28.0,53.0,0.0,0.0,45.42857142857143,23.41550158091247,22.0,77.0,53.5,28.48953924081339,8.0,94.0,53.5,28.48953924081339,8.0,94.0,43.88408763706684,52.94886465839848,65.55780485038555,53.5,-1.0,-26.0,-0.0357142857142857,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2471,2471,0,85,1,15,5,5,9,0,18,29416.2,35165.71,40,1,2,1,0,3,0,0,0,7,1,76,199,72,24,7,1,0,0.38,1,1,141.74,-19.55,0,1,5,1,2023,3,30,25,206,0,0,0,0,0,2,27.0,65.0,89.0,0.0,47.0,25.245461638348655,22.0,77.0,52.57142857142857,27.43583923858125,8.0,94.0,55.0,28.061157699363925,8.0,94.0,51.91306572780013,56.02234937061201,66.2314948600381,55.0,49.0,11.0,1.8148148148148149,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
3987,3987,0,85,1,15,4,8,1,1,9,31071.6,30204.01,30,1,2,1,0,3,0,0,1,8,6,31,135,46,41,7,2,0,0.23,6,0,235.23,2.79,0,1,1,4,2023,3,32,13,225,1,0,0,0,0,2,76.0,31.0,86.0,0.0,47.0,25.245461638348655,22.0,77.0,48.642857142857146,26.190447885432587,8.0,94.0,53.5,27.765686257201228,8.0,94.0,46.6847992958501,52.68603612119708,63.958495191648545,53.5,-45.0,0.0,-0.5921052631578947,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
2002,2002,0,85,1,15,9,9,0,2,44,4048.1,3572.26,30,1,0,4,0,3,0,0,0,9,0,53,243,44,43,3,2,0,0.22,6,0,127.12,11.75,1,1,3,1,2023,3,37,11,254,0,0,0,0,0,3,31.0,22.0,31.0,0.0,51.42857142857143,22.72192144792589,27.0,77.0,50.214285714285715,25.705966297665277,8.0,94.0,53.470588235294116,26.88428362226438,8.0,94.0,48.263599471887574,52.72789797170414,63.251495501864774,53.470588235294116,22.0,31.0,0.7096774193548387,-1.0,-1.8369701987210297e-16,0.0,1.0
1074,1074,0,85,1,15,8,6,8,1,2,32137.65,23308.48,15,1,2,1,0,3,0,0,0,9,3,71,207,74,36,5,0,0,0.34,4,1,345.35,27.47,2,2,1,0,2023,3,37,14,257,0,0,0,0,0,3,53.0,77.0,94.0,0.0,50.57142857142857,21.686071896166776,27.0,76.0,48.57142857142857,23.316267961411647,8.0,77.0,54.44444444444444,26.406822251795244,8.0,94.0,53.94769960391568,55.16417824214359,63.7513990178735,54.44444444444444,18.0,-6.0,0.3396226415094339,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419
3058,3058,0,85,1,15,7,4,4,2,10,17961.0,11523.95,0,0,4,4,0,3,0,0,0,10,1,75,194,30,26,12,1,0,0.39,1,3,181.44,35.84,0,1,4,2,2023,4,42,17,290,0,0,0,0,0,3,71.0,68.0,70.0,0.0,51.57142857142857,22.758567199021584,27.0,76.0,48.92857142857143,23.704800830582442,8.0,77.0,55.526315789473685,26.092503012365302,8.0,94.0,59.21077470293676,57.80895447652445,64.47711521026876,55.526315789473685,4.0,7.0,0.05633802816901401,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2637,2637,0,85,1,15,5,5,9,0,12,7233.0,7023.65,40,1,2,1,0,3,0,0,0,11,4,90,236,62,49,9,0,0,0.38,1,3,279.86,2.89,1,0,4,3,2023,4,46,17,321,0,0,0,0,0,3,75.0,28.0,8.0,0.0,60.42857142857143,24.082200500626627,27.0,90.0,54.785714285714285,22.93193464088074,22.0,90.0,57.25,26.540683765435322,8.0,94.0,66.90808102720257,62.10109387965452,66.12375293863853,57.25,15.0,62.0,0.19999999999999996,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
1167,1167,0,85,1,15,4,8,1,1,27,18021.0,17367.38,25,1,2,1,0,3,0,0,1,12,5,56,256,52,27,4,1,0,0.22,4,0,197.26,3.63,1,2,3,2,2023,4,51,23,357,1,0,0,0,0,0,90.0,27.0,53.0,0.0,64.57142857142857,19.41526154735963,31.0,90.0,55.0,22.92798089000223,22.0,90.0,57.19047619047619,25.87009672888574,8.0,94.0,64.18106077040193,61.28761469570059,65.47060758775864,57.19047619047619,-34.0,29.0,-0.37777777777777777,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
1102,1102,0,85,1,15,0,3,7,2,40,3031.0,2799.28,30,1,5,3,0,3,0,0,0,12,1,75,172,37,21,2,0,0,0.44,5,3,261.61,7.65,1,5,0,2,2023,4,52,26,360,0,0,0,0,0,0,56.0,76.0,65.0,0.0,64.42857142857143,19.320603362362025,31.0,90.0,55.714285714285715,23.41409362370835,22.0,90.0,58.0,25.530560585492907,8.0,94.0,66.88579557780145,63.11593273627385,66.08540709822583,58.0,19.0,-1.0,0.3392857142857142,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
547,547,0,85,1,15,8,6,8,1,35,23607.2,17137.69,20,1,2,1,0,3,0,0,0,1,3,36,183,43,40,4,1,0,0.2,3,0,66.23,27.4,1,1,2,2,2024,1,1,4,4,0,0,0,0,0,0,75.0,31.0,31.0,0.0,65.14285714285714,17.92045917779055,36.0,90.0,56.07142857142857,23.04331802268296,22.0,90.0,57.04347826086956,25.361886689335392,8.0,94.0,59.164346683351084,59.500475038104,64.14441309188868,57.04347826086956,-39.0,5.0,-0.52,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
4018,4018,0,85,1,15,6,0,2,3,18,10696.0,9112.23,20,1,3,0,0,3,0,0,1,2,5,52,198,56,22,12,1,0,0.26,7,0,199.65,14.81,1,4,5,3,2024,1,7,17,48,1,0,0,0,0,0,36.0,53.0,22.0,0.0,65.0,18.03699901129159,36.0,90.0,58.214285714285715,20.929105870234217,27.0,90.0,56.833333333333336,24.825769687558736,8.0,94.0,57.37326001251331,58.50041169969013,63.360902569831346,56.833333333333336,16.0,-1.0,0.4444444444444444,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
1621,1621,0,85,1,15,4,8,1,1,11,44762.0,25420.55,0,0,4,4,0,3,0,0,1,3,5,71,177,79,23,12,2,0,0.4,6,0,156.12,43.21,2,1,1,2,2024,1,12,23,83,1,0,0,0,0,1,52.0,71.0,77.0,0.0,65.0,18.03699901129159,36.0,90.0,57.785714285714285,20.5732409152822,27.0,90.0,57.4,24.467665738003422,8.0,94.0,60.77994500938499,60.16702347306479,63.8537475653261,57.4,19.0,0.0,0.3653846153846154,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
1623,1623,0,85,1,15,0,3,7,2,36,15672.3,12383.06,15,1,1,2,0,3,0,0,0,4,3,49,151,76,27,3,2,0,0.32,2,1,281.63,20.99,0,1,4,4,2024,2,16,18,109,0,0,0,0,0,1,71.0,75.0,68.0,0.0,61.285714285714285,18.309508328682547,36.0,90.0,56.42857142857143,20.474052192636734,27.0,90.0,57.07692307692308,24.02985322788814,8.0,94.0,57.83495875703874,58.67808700998948,62.89544127078894,57.07692307692308,-22.0,-26.0,-0.3098591549295775,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419
2469,2469,0,85,1,15,6,0,2,3,35,31724.0,25326.4,30,1,0,4,0,3,0,0,0,5,3,87,182,63,26,2,2,0,0.48,3,1,343.11,20.17,2,1,4,3,2024,2,19,9,130,0,0,0,0,0,1,49.0,90.0,28.0,0.0,60.857142857142854,17.544501241401083,36.0,87.0,60.642857142857146,20.243164631196233,27.0,90.0,58.18518518518518,24.256699371255447,8.0,94.0,65.12621906777906,62.45434207532422,64.45057409202838,58.18518518518518,38.0,-3.0,0.7755102040816326,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
2639,2639,0,85,1,15,2,7,5,3,16,23635.0,18615.36,0,0,4,4,0,3,0,0,1,6,5,65,134,41,24,9,2,0,0.49,2,2,297.94,21.24,0,4,5,3,2024,2,22,1,153,1,1,0,0,0,2,87.0,56.0,27.0,0.0,62.142857142857146,17.458795027421687,36.0,87.0,63.357142857142854,17.78334200163886,31.0,90.0,58.42857142857143,23.838078115778718,8.0,94.0,65.0946643008343,62.79376313194766,64.48602092480074,58.42857142857143,-22.0,9.0,-0.25287356321839083,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
2516,2516,0,85,1,15,1,1,3,2,13,38490.3,33498.74,10,1,2,1,0,3,0,0,0,6,1,71,93,59,20,8,1,0,0.76,6,0,75.14,12.97,0,0,3,2,2024,2,23,4,156,0,0,0,0,0,2,65.0,75.0,76.0,0.0,61.57142857142857,17.027988165146855,36.0,87.0,63.0,17.558692784706164,31.0,90.0,58.86206896551724,23.524643822916296,8.0,94.0,66.57099822562571,63.88792804768797,64.90627763932973,58.86206896551724,6.0,-4.0,0.0923076923076922,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
2661,2661,0,85,1,15,9,9,0,2,14,40086.85,34980.68,15,1,2,1,0,3,0,0,0,7,1,77,247,34,47,7,2,0,0.31,6,3,203.66,12.74,1,3,3,2,2024,3,30,23,205,0,0,0,0,0,2,71.0,36.0,31.0,0.0,67.42857142857143,13.439458605875762,49.0,87.0,66.28571428571429,15.263977561206355,36.0,90.0,59.46666666666667,23.3514871908191,8.0,94.0,69.17824866921929,65.63620430799625,65.68651779163103,59.46666666666667,6.0,41.0,0.08450704225352124,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
1115,1115,0,85,1,15,0,3,7,2,28,4221.0,4299.31,30,1,6,4,0,3,0,0,1,7,5,94,140,40,42,6,0,0,0.67,2,0,82.24,-1.86,2,5,3,1,2024,3,30,27,209,1,0,0,0,0,2,77.0,52.0,53.0,89.0,73.42857142857143,14.717983816374037,49.0,94.0,69.21428571428571,16.409090217261955,36.0,94.0,59.63333333333333,23.58620773677487,8.0,94.0,75.38368650191447,69.41804373359676,67.51319406313871,60.58064516129032,17.0,42.0,0.22077922077922074,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
746,746,0,85,1,15,8,6,8,1,26,16569.0,15774.74,25,1,2,1,0,3,0,0,0,8,1,32,130,67,40,8,2,0,0.25,2,0,231.85,4.79,1,1,0,1,2024,3,33,13,226,0,0,0,0,0,2,94.0,71.0,71.0,86.0,67.85714285714286,21.57489722979442,32.0,94.0,66.42857142857143,19.16211922483558,32.0,94.0,57.833333333333336,23.565145701947674,8.0,94.0,64.53776487643586,64.42897123578386,65.22202025261365,59.6875,-62.0,-39.0,-0.6595744680851063,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336
1395,1395,0,85,1,15,4,8,1,1,42,13156.8,11063.03,20,1,2,1,0,3,0,0,1,8,5,43,224,40,30,5,1,0,0.19,2,3,244.75,15.91,2,2,4,2,2024,3,33,17,230,1,0,0,0,0,2,32.0,49.0,75.0,31.0,67.0,22.54624876411448,32.0,94.0,64.14285714285714,19.953242045639303,32.0,94.0,58.233333333333334,23.192869494788667,8.0,94.0,59.153323657326894,61.57177507101268,63.788341526638575,59.18181818181818,11.0,-6.0,0.34375,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146
2386,2386,0,85,1,15,0,3,7,2,49,2443.8,2516.84,40,1,5,3,0,3,0,0,0,9,1,76,170,56,21,4,1,0,0.45,7,0,55.78,-2.99,2,4,4,3,2024,3,38,17,261,0,0,0,0,0,3,43.0,87.0,90.0,94.0,65.42857142857143,21.26700999872137,32.0,94.0,63.142857142857146,18.879606999076024,32.0,94.0,57.63333333333333,22.456829593740494,8.0,94.0,63.36499274299517,63.495538394877656,64.57619046040384,59.6764705882353,33.0,-11.0,0.7674418604651163,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
2267,2267,0,85,1,15,6,0,2,3,7,37384.2,31694.53,10,1,0,4,0,3,0,0,0,9,0,72,180,42,27,6,1,0,0.4,3,1,68.48,15.22,2,3,1,2,2024,3,40,30,274,0,0,1,0,1,3,76.0,65.0,56.0,70.0,66.42857142857143,21.4076087942048,32.0,94.0,64.28571428571429,18.89822365046136,32.0,94.0,57.7,22.497739350034013,8.0,94.0,65.52374455724637,64.62946660889396,65.05514591457134,60.02857142857143,-4.0,7.0,-0.052631578947368474,-1.0,-1.8369701987210297e-16,0.0,1.0
2822,2822,0,85,1,15,0,3,7,2,26,17571.75,14407.76,25,1,2,1,0,3,0,0,0,10,3,62,243,63,50,2,2,0,0.26,4,2,205.75,18.01,0,4,4,2,2024,4,44,31,305,0,0,1,0,0,3,72.0,71.0,75.0,8.0,65.14285714285714,21.357501191451625,32.0,94.0,63.357142857142854,18.649013761743923,32.0,94.0,59.5,20.451372097970715,22.0,94.0,64.64280841793479,64.27887106104143,64.85803972653449,60.083333333333336,-10.0,-9.0,-0.13888888888888884,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
1116,1116,0,85,1,15,7,4,4,2,7,4519.0,3373.77,0,0,4,4,0,3,0,0,0,2,0,76,240,74,44,2,1,0,0.32,5,2,342.16,25.34,0,0,3,0,2025,1,6,3,34,0,0,0,0,0,0,62.0,77.0,36.0,53.0,65.0,21.268129521265706,32.0,94.0,66.21428571428571,17.138254876730603,32.0,94.0,60.266666666666666,20.629629400340722,22.0,94.0,67.48210631345108,65.84168825290257,65.57687587320969,60.513513513513516,14.0,-1.0,0.22580645161290325,0.8660254037844386,0.5000000000000001,0.0,1.0
4512,4512,0,85,1,15,6,0,2,3,4,8548.8,6485.84,20,1,1,2,0,3,0,0,0,3,0,82,161,68,25,10,0,0,0.51,5,3,338.99,24.13,1,3,1,4,2025,1,10,3,62,0,0,0,0,0,1,76.0,94.0,52.0,65.0,63.285714285714285,18.891923192326463,32.0,82.0,68.35714285714286,17.09973973196958,32.0,94.0,60.833333333333336,20.99438896029346,22.0,94.0,71.11157973508831,67.99612981918223,66.63643226848649,61.078947368421055,6.0,-12.0,0.07894736842105265,1.0,6.123233995736766e-17,0.0,1.0
4606,4606,0,85,1,15,9,9,0,2,36,24774.6,25289.3,40,1,1,2,0,3,0,0,0,3,2,70,83,33,42,9,0,0,0.84,6,2,218.77,-2.08,1,4,4,3,2025,1,11,12,71,0,0,0,0,0,1,82.0,32.0,71.0,31.0,68.71428571428571,12.919162585274725,43.0,82.0,68.28571428571429,17.089936631419505,32.0,94.0,62.13333333333333,20.27863379288031,22.0,94.0,70.83368480131624,68.26331250995793,66.85343663826156,61.30769230769231,-12.0,38.0,-0.14634146341463417,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
610,610,0,85,1,15,5,5,9,0,15,11900.0,9176.42,20,1,1,2,0,3,0,0,0,3,4,53,131,80,49,8,0,0,0.4,1,3,50.13,22.89,1,0,2,0,2025,1,12,21,80,0,0,0,0,0,1,70.0,43.0,49.0,22.0,70.14285714285714,9.771191865693295,53.0,82.0,68.57142857142857,16.773212552777704,32.0,94.0,63.166666666666664,18.90645453247398,27.0,94.0,66.37526360098718,66.22820417529687,65.95966653256727,61.1,-17.0,10.0,-0.24285714285714288,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
1982,1982,0,85,1,15,1,1,3,2,30,11873.6,9334.33,20,1,1,2,0,3,0,0,0,4,1,20,216,31,25,11,2,0,0.09,2,0,72.84,21.39,1,5,1,0,2025,2,14,1,91,0,1,0,1,0,1,53.0,76.0,87.0,77.0,62.142857142857146,20.83609505504469,20.0,82.0,63.785714285714285,20.29845985604505,20.0,94.0,61.266666666666666,20.282374433080516,20.0,94.0,54.78144770074039,60.064443618590616,62.994526756272606,60.09756097560975,-33.0,-56.0,-0.6226415094339622,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
986,986,0,85,1,15,9,9,0,2,4,33579.0,28742.56,25,1,0,4,0,3,0,0,0,4,2,64,98,33,22,6,0,0,0.65,7,0,309.96,14.4,0,1,2,2,2025,2,18,30,120,0,0,1,0,0,1,20.0,72.0,65.0,68.0,61.0,20.420577856662153,20.0,82.0,63.714285714285715,20.29561745579789,20.0,94.0,61.13333333333333,20.249705546319525,20.0,94.0,57.08608577555529,60.5891844694452,63.059395997803406,60.19047619047619,44.0,-8.0,2.2,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
3200,3200,0,85,1,15,3,2,6,2,16,21960.0,28976.05,40,1,0,4,0,3,0,0,0,5,1,27,150,34,21,2,1,0,0.18,3,3,124.58,-31.95,0,2,5,1,2025,2,22,27,147,0,0,0,0,0,1,64.0,62.0,71.0,28.0,56.0,24.090108620206227,20.0,82.0,60.57142857142857,22.38032888228233,20.0,94.0,61.1,20.306869909398678,20.0,94.0,49.56456433166647,56.11062654018584,60.73298335278383,59.41860465116279,-37.0,-35.0,-0.578125,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
2185,2185,0,85,1,15,9,9,0,2,14,18747.0,12489.52,0,0,4,4,0,3,0,0,1,6,5,14,57,80,43,6,1,0,0.25,1,0,177.55,33.38,0,1,3,3,2025,2,23,7,158,1,0,0,0,0,2,27.0,76.0,77.0,27.0,47.142857142857146,26.760845598427164,14.0,82.0,56.07142857142857,25.002966856922225,14.0,94.0,60.666666666666664,21.17958244734013,14.0,94.0,40.67342324874985,50.495876334827734,57.71795216873327,58.38636363636363,-13.0,-62.0,-0.4814814814814815,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
1429,1429,0,85,1,15,3,2,6,2,32,33121.8,22431.19,10,1,3,0,0,3,0,0,0,6,3,24,109,69,30,4,0,0,0.22,7,2,81.93,32.28,2,5,5,0,2025,2,26,26,177,0,0,0,0,0,2,14.0,82.0,94.0,76.0,38.857142857142854,22.865028401677655,14.0,70.0,51.07142857142857,23.80518458627894,14.0,82.0,58.93333333333333,21.993624990662294,14.0,94.0,36.505067436562385,46.96309282351737,55.54260041591177,57.62222222222222,10.0,-58.0,0.7142857142857142,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
761,761,0,85,1,15,4,8,1,1,41,34755.0,30668.1,30,1,6,4,0,3,0,0,0,7,2,42,126,62,35,10,2,0,0.33,3,2,308.85,11.76,1,4,2,4,2025,3,30,23,204,0,0,0,0,0,2,24.0,70.0,32.0,31.0,34.857142857142854,18.551087761715195,14.0,64.0,51.785714285714285,23.334288311174397,14.0,82.0,59.3,21.60004789266721,14.0,94.0,37.878800577421785,46.30134711371506,54.6688842600465,57.28260869565217,18.0,-28.0,0.75,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
