date,customer_id,order_id,product_id,product_name,brand,warehouse_id,city,state,region,supplier_id,selling_price,procurement_cost,discount_percent,promotion,promotion_name,holiday_flag,festival_flag,weekend,month,day_of_week,units_sold,inventory_level,reorder_point,safety_stock,supplier_lead_time_days,lead_time_variability,stockout_flag,inventory_turnover,delivery_time_days,return_quantity,shipping_cost,profit_margin,demand_trend,delivery_status,category_Electronics,category_Fashion,category_Grocery,category_Home,promotion_type_Buy 1 Get 1,promotion_type_Cashback,promotion_type_Flat Discount,promotion_type_Percentage Discount,promotion_type_No Promotion,festival_name_Dussehra,festival_name_Holi,festival_name_Sankranti,festival_name_Ugadi,holiday_name_Independence Day,holiday_name_New Year,holiday_name_Republic Day,payment_method_Credit Card,payment_method_Debit Card,payment_method_Net Banking,payment_method_UPI,payment_method_Wallet,weather_Cold,weather_Hot,weather_Humid,weather_Rainy,weather_Sunny
2024-05-19,CUST100010,ORD202300010,P1075,Milton Hom 15,8,9,Vijayawada,Andhra Pradesh,South,42,2523.6,1836.08,10,1,Diwali Sale,No,No,Yes,May,Sunday,102,246,63,30,6,Low,No,0.41,6,2,113.99,27.24,Stable,4,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-09-06,CUST100011,ORD202300011,P1059,Fortune Grocer 19,4,5,Kolkata,West Bengal,East,16,49474.0,27325.92,0,0,No Promotion,No,No,No,September,Friday,77,102,34,37,5,High,No,0.75,2,2,313.07,44.77,Increasing,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-06-16,CUST100012,ORD202300012,P1070,Philips Hom 10,12,4,New Delhi,Delhi,North,7,24171.6,27484.53,40,1,End of Season Sale,No,No,No,June,Monday,90,166,72,23,4,Medium,No,0.54,1,1,124.43,-13.71,Decreasing,2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-02-21,CUST100013,ORD202300013,P1088,Lakme Beaut 8,5,4,New Delhi,Delhi,North,0,26657.6,25869.01,20,1,Weekend Flash Sale,No,No,No,February,Wednesday,26,49,70,33,6,Low,No,0.53,3,1,237.51,2.96,Stable,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-05-25,CUST100014,ORD202300014,P1072,Milton Hom 12,8,0,Hyderabad,Telangana,South,35,7531.0,5921.34,0,0,No Promotion,No,No,Yes,May,Sunday,32,171,32,46,7,High,No,0.19,2,3,79.51,21.37,Stable,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2024-03-06,CUST100015,ORD202300015,P1088,Lakme Beaut 8,5,3,Chennai,Tamil Nadu,South,10,43908.0,28031.73,0,0,No Promotion,No,No,No,March,Wednesday,76,180,69,43,4,Low,No,0.42,7,1,313.24,36.16,Increasing,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-04-23,CUST100016,ORD202300016,P1086,Loreal Beaut 6,7,3,Chennai,Tamil Nadu,South,19,10611.0,10204.67,40,1,Big Billion Days,No,No,No,April,Wednesday,24,144,44,26,9,Medium,No,0.17,7,1,109.11,3.83,Decreasing,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2024-07-24,CUST100017,ORD202300017,P1009,Dell Electronic 9,3,4,New Delhi,Delhi,North,37,16248.4,15085.93,30,1,Republic Day Sale,No,No,No,July,Wednesday,88,172,31,23,6,Low,No,0.51,3,0,73.6,7.15,Stable,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2024-10-04,CUST100018,ORD202300018,P1056,Fortune Grocer 16,4,9,Vijayawada,Andhra Pradesh,South,33,33716.0,21790.61,0,0,No Promotion,No,No,No,October,Friday,78,126,46,21,8,Low,No,0.62,7,1,152.91,35.37,Increasing,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2024-10-04,CUST100019,ORD202300019,P1085,Loreal Beaut 5,7,1,Bengaluru,Karnataka,South,8,33158.3,29715.58,30,1,Great Indian Festival,No,No,No,October,Friday,72,155,55,42,6,High,No,0.46,2,3,246.13,10.38,Stable,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2024-09-08,CUST100020,ORD202300020,P1052,Fortune Grocer 12,4,8,Lucknow,Uttar Pradesh,North,28,180.8,136.18,20,1,Great Indian Festival,No,No,Yes,September,Sunday,102,257,71,30,9,Medium,No,0.4,6,1,198.46,24.68,Decreasing,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-08-04,CUST100021,ORD202300021,P1066,Prestige Hom 6,13,9,Vijayawada,Andhra Pradesh,South,1,22166.0,16726.59,0,0,No Promotion,No,No,Yes,August,Sunday,43,215,49,27,5,Low,No,0.2,1,1,345.02,24.54,Decreasing,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2024-02-03,CUST100022,ORD202300022,P1092,Loreal Beaut 12,7,6,Ahmedabad,Gujarat,West,14,27709.15,19132.12,15,1,Weekend Flash Sale,No,No,Yes,February,Saturday,28,220,79,48,3,Medium,No,0.13,2,3,55.57,30.95,Increasing,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-09,CUST100023,ORD202300023,P1086,Loreal Beaut 6,7,8,Lucknow,Uttar Pradesh,North,35,29463.2,29003.2,20,1,Diwali Sale,No,No,Yes,August,Saturday,84,240,76,48,10,Medium,No,0.35,4,1,270.53,1.56,Stable,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2024-05-21,CUST100024,ORD202300024,P1082,Nivea Beaut 2,11,4,New Delhi,Delhi,North,21,20617.8,20954.95,40,1,Weekend Flash Sale,No,No,No,May,Tuesday,76,95,75,29,5,Medium,No,0.8,3,0,82.9,-1.64,Increasing,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2024-03-14,CUST100025,ORD202300025,P1009,Dell Electronic 9,3,6,Ahmedabad,Gujarat,West,1,18838.4,17936.34,30,1,Great Indian Festival,No,Yes,No,March,Thursday,47,99,56,32,11,High,No,0.47,7,3,187.86,4.79,Stable,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-05-08,CUST100026,ORD202300026,P1069,Philips Hom 9,12,8,Lucknow,Uttar Pradesh,North,43,29800.5,24033.32,25,1,Big Billion Days,No,No,No,May,Thursday,75,199,31,32,7,High,No,0.38,7,3,264.5,19.35,Stable,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-02-25,CUST100027,ORD202300027,P1051,Aashirvaad Grocer 11,0,9,Vijayawada,Andhra Pradesh,South,24,33468.3,21233.29,10,1,Republic Day Sale,No,No,Yes,February,Saturday,82,116,59,25,2,Medium,No,0.71,3,1,180.96,36.56,Stable,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-05-13,CUST100028,ORD202300028,P1033,Puma Fashio 13,14,1,Bengaluru,Karnataka,South,2,31022.0,22871.16,0,0,No Promotion,No,No,No,May,Tuesday,11,100,44,40,3,High,No,0.11,7,0,334.38,26.27,Increasing,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-05-03,CUST100029,ORD202300029,P1017,Dell Electronic 17,3,7,Kochi,Kerala,South,38,44073.0,30454.11,0,0,No Promotion,No,No,No,May,Friday,32,151,74,28,7,Low,No,0.21,5,0,281.12,30.9,Increasing,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2023-02-22,CUST100030,ORD202300030,P1040,Nike Fashio 20,10,9,Vijayawada,Andhra Pradesh,South,6,33442.5,35019.54,25,1,Weekend Flash Sale,No,No,No,February,Wednesday,45,64,67,42,12,Low,No,0.7,6,2,303.59,-4.72,Decreasing,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2023-03-26,CUST100031,ORD202300031,P1045,Tata Grocer 5,17,8,Lucknow,Uttar Pradesh,North,27,22619.2,16038.12,20,1,Republic Day Sale,No,No,Yes,March,Sunday,71,74,56,46,9,Low,No,0.96,3,3,259.27,29.1,Stable,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-07-07,CUST100032,ORD202300032,P1079,Prestige Hom 19,13,8,Lucknow,Uttar Pradesh,North,17,23914.5,24119.64,25,1,Weekend Flash Sale,No,No,Yes,July,Sunday,103,171,50,47,5,Low,No,0.6,4,1,272.65,-0.86,Decreasing,3,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2024-11-19,CUST100033,ORD202300033,P1004,Apple Electronic 4,2,7,Kochi,Kerala,South,17,16125.0,12965.14,25,1,Big Billion Days,No,No,No,November,Tuesday,53,140,47,48,11,High,No,0.38,5,0,200.15,19.6,Increasing,4,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-12,CUST100034,ORD202300034,P1063,Prestige Hom 3,13,8,Lucknow,Uttar Pradesh,North,14,29932.2,33375.56,40,1,Big Billion Days,No,No,Yes,April,Saturday,90,204,80,20,3,Medium,No,0.44,4,1,134.92,-11.5,Decreasing,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-12-23,CUST100035,ORD202300035,P1045,Tata Grocer 5,17,6,Ahmedabad,Gujarat,West,46,39268.0,31313.9,20,1,Diwali Sale,No,No,No,December,Tuesday,78,147,49,28,5,Low,No,0.53,2,2,77.06,20.26,Decreasing,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2024-03-19,CUST100036,ORD202300036,P1095,Nivea Beaut 15,11,7,Kochi,Kerala,South,14,12824.0,14548.86,30,1,Republic Day Sale,No,No,No,March,Tuesday,87,239,48,23,5,Medium,No,0.36,3,1,133.7,-13.45,Decreasing,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2023-04-04,CUST100037,ORD202300037,P1007,Samsung Electronic 7,15,8,Lucknow,Uttar Pradesh,North,30,16443.25,13724.65,15,1,Republic Day Sale,No,No,No,April,Tuesday,82,108,30,38,6,Medium,No,0.76,4,2,97.15,16.53,Increasing,2,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2023-05-14,CUST100038,ORD202300038,P1052,Fortune Grocer 12,4,7,Kochi,Kerala,South,15,3033.0,3647.75,40,1,Diwali Sale,No,No,Yes,May,Sunday,47,85,66,50,6,Low,No,0.55,1,3,227.96,-20.27,Decreasing,3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-07-11,CUST100039,ORD202300039,P1057,Fortune Grocer 17,4,4,New Delhi,Delhi,North,13,31015.2,26834.25,20,1,Weekend Flash Sale,No,No,No,July,Friday,27,183,77,23,5,High,No,0.15,3,0,88.69,13.48,Increasing,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2023-01-06,CUST100040,ORD202300040,P1053,Aashirvaad Grocer 13,0,7,Kochi,Kerala,South,43,34033.5,28262.09,25,1,Diwali Sale,No,No,No,January,Friday,49,122,75,29,9,Low,No,0.4,2,2,284.23,16.96,Decreasing,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2024-02-10,CUST100041,ORD202300041,P1055,Nestle Grocer 15,9,1,Bengaluru,Karnataka,South,38,21532.8,21075.13,40,1,Big Billion Days,No,No,Yes,February,Saturday,62,98,34,21,4,Medium,No,0.63,6,2,176.14,2.13,Stable,4,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-04,CUST100042,ORD202300042,P1035,Puma Fashio 15,14,8,Lucknow,Uttar Pradesh,North,1,26691.0,20289.09,25,1,Weekend Flash Sale,No,No,No,April,Friday,25,135,77,30,11,Medium,No,0.19,1,1,338.19,23.99,Decreasing,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2024-07-05,CUST100043,ORD202300043,P1074,Prestige Hom 14,13,0,Hyderabad,Telangana,South,31,37321.5,33825.27,25,1,Big Billion Days,No,No,No,July,Friday,76,147,41,38,8,High,No,0.52,1,3,147.87,9.37,Stable,2,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2023-11-26,CUST100044,ORD202300044,P1043,Nestle Grocer 3,9,6,Ahmedabad,Gujarat,West,20,36528.0,32676.39,20,1,Weekend Flash Sale,No,No,Yes,November,Sunday,79,273,65,21,9,Low,No,0.29,3,2,75.94,10.54,Stable,4,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-08-04,CUST100045,ORD202300045,P1053,Aashirvaad Grocer 13,0,0,Hyderabad,Telangana,South,17,9994.4,8815.79,20,1,Diwali Sale,No,No,No,August,Monday,83,243,58,44,2,Low,No,0.34,5,1,327.58,11.79,Stable,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2023-03-01,CUST100046,ORD202300046,P1081,Nivea Beaut 1,11,9,Vijayawada,Andhra Pradesh,South,29,13499.7,9968.93,15,1,Republic Day Sale,No,No,No,March,Wednesday,21,162,56,22,5,Low,No,0.13,1,1,194.5,26.15,Decreasing,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-07-13,CUST100047,ORD202300047,P1054,Fortune Grocer 14,4,7,Kochi,Kerala,South,17,23360.25,21423.41,25,1,Big Billion Days,No,No,Yes,July,Saturday,77,125,68,36,4,Low,No,0.62,7,3,145.36,8.29,Decreasing,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2024-09-03,CUST100048,ORD202300048,P1076,Philips Hom 16,12,9,Vijayawada,Andhra Pradesh,South,29,36931.65,28747.46,15,1,Weekend Flash Sale,No,No,No,September,Tuesday,81,169,51,37,10,Medium,No,0.48,3,1,344.04,22.16,Increasing,2,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-04-21,CUST100049,ORD202300049,P1006,Apple Electronic 6,2,5,Kolkata,West Bengal,East,31,29402.4,38142.63,40,1,Weekend Flash Sale,No,No,No,April,Monday,68,166,72,45,12,Low,No,0.41,1,1,195.71,-29.73,Decreasing,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-06-20,CUST100050,ORD202300050,P1013,Apple Electronic 13,2,8,Lucknow,Uttar Pradesh,North,21,30145.0,22024.27,0,0,No Promotion,No,No,No,June,Friday,57,224,39,22,9,Medium,No,0.25,5,3,241.45,26.94,Stable,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2024-10-10,CUST100051,ORD202300051,P1081,Nivea Beaut 1,11,7,Kochi,Kerala,South,47,35656.0,25114.83,0,0,No Promotion,No,No,No,October,Thursday,35,196,73,49,6,Low,No,0.18,1,3,343.28,29.56,Decreasing,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2023-12-07,CUST100052,ORD202300052,P1089,Loreal Beaut 9,7,4,New Delhi,Delhi,North,15,2097.0,1323.4,0,0,No Promotion,No,No,No,December,Thursday,12,87,52,31,8,Low,No,0.14,5,3,215.44,36.89,Increasing,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2025-02-22,CUST100053,ORD202300053,P1080,Philips Hom 20,12,3,Chennai,Tamil Nadu,South,18,27892.75,19953.07,15,1,Diwali Sale,No,No,Yes,February,Saturday,60,177,46,41,2,Medium,No,0.34,6,1,62.9,28.47,Stable,4,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-05-18,CUST100054,ORD202300054,P1089,Loreal Beaut 9,7,4,New Delhi,Delhi,North,22,24111.2,18077.5,20,1,End of Season Sale,No,No,Yes,May,Sunday,77,200,36,27,8,High,No,0.39,5,2,347.73,25.02,Stable,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2024-07-16,CUST100055,ORD202300055,P1002,Samsung Electronic 2,15,9,Vijayawada,Andhra Pradesh,South,22,27086.4,35817.28,40,1,End of Season Sale,No,No,No,July,Tuesday,83,156,79,45,5,High,No,0.53,2,1,232.48,-32.23,Decreasing,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2023-10-08,CUST100056,ORD202300056,P1081,Nivea Beaut 1,11,1,Bengaluru,Karnataka,South,18,37188.9,25917.9,10,1,Republic Day Sale,No,No,Yes,October,Sunday,84,92,67,31,4,Low,No,0.91,3,3,94.45,30.31,Increasing,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-10-24,CUST100057,ORD202300057,P1035,Puma Fashio 15,14,2,Mumbai,Maharashtra,West,4,12780.0,13493.06,25,1,End of Season Sale,No,No,No,October,Friday,57,248,51,45,3,Medium,No,0.23,2,1,306.64,-5.58,Decreasing,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2025-01-19,CUST100058,ORD202300058,P1012,Samsung Electronic 12,15,6,Ahmedabad,Gujarat,West,24,778.4,645.96,30,1,Great Indian Festival,No,No,Yes,January,Sunday,75,247,77,41,6,High,No,0.3,7,2,73.59,17.01,Increasing,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2024-11-02,CUST100059,ORD202300059,P1079,Prestige Hom 19,13,3,Chennai,Tamil Nadu,South,8,42644.0,30228.24,0,1,Great Indian Festival,No,Yes,Yes,November,Saturday,107,286,49,40,8,Low,No,0.37,1,0,134.35,29.11,Stable,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2023-10-05,CUST100060,ORD202300060,P1050,Tata Grocer 10,17,7,Kochi,Kerala,South,41,14708.4,17751.1,40,1,Republic Day Sale,No,No,No,October,Thursday,89,196,67,43,4,Medium,No,0.45,1,3,230.85,-20.69,Stable,2,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2024-03-20,CUST100061,ORD202300061,P1057,Fortune Grocer 17,4,7,Kochi,Kerala,South,17,12538.4,9009.45,20,1,End of Season Sale,No,No,No,March,Wednesday,67,206,71,31,2,Medium,No,0.33,2,0,334.19,28.15,Stable,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2023-02-13,CUST100062,ORD202300062,P1007,Samsung Electronic 7,15,5,Kolkata,West Bengal,East,49,11313.4,9718.23,30,1,Big Billion Days,No,No,No,February,Monday,90,143,67,26,5,Medium,No,0.63,2,0,125.96,14.1,Increasing,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-12-24,CUST100063,ORD202300063,P1015,Samsung Electronic 15,15,0,Hyderabad,Telangana,South,3,8837.0,5651.8,0,0,No Promotion,No,No,Yes,December,Sunday,43,193,50,20,4,Medium,No,0.22,2,3,203.09,36.04,Decreasing,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-01-11,CUST100064,ORD202300064,P1066,Prestige Hom 6,13,9,Vijayawada,Andhra Pradesh,South,19,5142.2,4447.18,30,1,Weekend Flash Sale,No,No,Yes,January,Saturday,33,219,80,49,12,High,No,0.15,4,0,58.86,13.52,Stable,4,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2023-08-10,CUST100065,ORD202300065,P1063,Prestige Hom 3,13,7,Kochi,Kerala,South,37,5016.0,3162.73,0,0,No Promotion,No,No,No,August,Thursday,23,39,38,28,11,High,No,0.59,5,2,158.08,36.95,Decreasing,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-01,CUST100066,ORD202300066,P1078,Prestige Hom 18,13,6,Ahmedabad,Gujarat,West,26,4019.4,3876.06,40,1,End of Season Sale,No,Yes,Yes,November,Saturday,118,302,43,33,9,Low,No,0.39,3,3,163.61,3.57,Decreasing,3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2024-10-02,CUST100067,ORD202300067,P1086,Loreal Beaut 6,7,4,New Delhi,Delhi,North,47,14838.0,19307.85,40,1,Big Billion Days,No,No,No,October,Wednesday,28,51,35,22,8,Low,No,0.55,6,2,291.65,-30.12,Decreasing,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-11-06,CUST100068,ORD202300068,P1086,Loreal Beaut 6,7,1,Bengaluru,Karnataka,South,19,16273.2,21298.43,40,1,Great Indian Festival,No,No,No,November,Wednesday,74,258,33,50,6,High,No,0.29,3,0,219.15,-30.88,Increasing,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-04-04,CUST100069,ORD202300069,P1014,Apple Electronic 14,2,5,Kolkata,West Bengal,East,39,32989.5,27148.58,10,1,Great Indian Festival,No,No,No,April,Thursday,93,150,57,47,10,High,No,0.62,6,0,228.79,17.71,Decreasing,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2024-01-05,CUST100070,ORD202300070,P1035,Puma Fashio 15,14,4,New Delhi,Delhi,North,47,20223.0,13377.55,10,1,Great Indian Festival,No,No,No,January,Friday,38,182,72,32,3,Low,No,0.21,6,0,68.44,33.85,Decreasing,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
